country_id,indicator_id,Year,Value,Gender
2,3,2023,10.376,Female
2,3,2024,10.527,Female
2,4,1991,10.328,Male
2,4,1992,32.116,Male
2,4,1993,26.877,Male
2,4,1994,22.233,Male
2,4,1995,14.967,Male
2,4,1996,14.658,Male
2,4,1997,17.705,Male
2,4,1998,20.238,Male
2,4,1999,21.159,Male
2,4,2000,19.38,Male
2,4,2001,18.295,Male
2,4,2002,17.61,Male
2,4,2003,16.684,Male
2,4,2004,16.013,Male
2,4,2005,15.629,Male
2,4,2006,15.284,Male
2,4,2007,15.639,Male
2,4,2008,12.533,Male
2,4,2009,12.171,Male
2,4,2010,12.737,Male
2,4,2011,13.263,Male
2,4,2012,14.835,Male
2,4,2013,17.704,Male
2,4,2014,19.898,Male
2,4,2015,17.248,Male
2,4,2016,16.162,Male
2,4,2017,14.466,Male
2,4,2018,12.635,Male
2,4,2019,11.587,Male
2,4,2020,11.724,Male
2,4,2021,11.307,Male
2,4,2022,9.917,Male
2,4,2023,9.888,Male
2,4,2024,10.023,Male
2,5,1960,1608800,
2,5,1961,1659800,
2,5,1962,1711319,
2,5,1963,1762621,
2,5,1964,1814135,
2,5,1965,1864791,
2,5,1966,1914573,
2,5,1967,1965598,
2,5,1968,2022272,
2,5,1969,2081695,
2,5,1970,2135479,
2,5,1971,2187853,
2,5,1972,2243126,
2,5,1973,2296752,
2,5,1974,2350124,
2,5,1975,2404831,
2,5,1976,2458526,
2,5,1977,2513546,
2,5,1978,2566266,
2,5,1979,2617832,
2,5,1980,2671997,
2,5,1981,2726056,
2,5,1982,2784278,
2,5,1983,2843960,
2,5,1984,2904429,
2,5,1985,2964762,
2,5,1986,3022635,
2,5,1987,3083605,
2,5,1988,3142336,
2,5,1989,3227943,
2,5,1990,3286542,
2,5,1991,3266790,
2,5,1992,3247039,
2,5,1993,3227287,
2,5,1994,3207536,
2,5,1995,3187784,
2,5,1996,3168033,
2,5,1997,3148281,
2,5,1998,3128530,
2,5,1999,3108778,
2,5,2000,3089027,
2,5,2001,3060173,
2,5,2002,3051010,
2,5,2003,3039616,
